i	species	reactions	cyto_r	exch_r	blocked_r	metabolites	mu	n_excr
64 	S64_minglc_871_04-11-2021.xml                                                                       	2163	 871	1264	 313	5616	15.368	  12	
65 	S65_minglc_871_04-11-2021.xml                                                                       	2163	 871	1236	 313	5616	8.063	  11	
66 	S66_minglc_871_04-11-2021.xml                                                                       	2163	 871	1271	 313	5616	2.761	  11	
67 	S67_minglc_871_04-11-2021.xml                                                                       	2163	 871	1328	 313	5616	15.823	  12	
68 	S68_minglc_871_04-11-2021.xml                                                                       	2163	 871	1212	 313	5616	19.806	  15	
69 	S69_minglc_871_04-11-2021.xml                                                                       	2163	 871	1259	 313	5616	10.865	   9	
70 	S70_minglc_871_04-11-2021.xml                                                                       	2163	 871	1231	 313	5616	34.936	  12	
71 	S71_minglc_871_04-11-2021.xml                                                                       	2163	 871	1246	 313	5616	5.345	  10	
72 	S72_minglc_871_04-11-2021.xml                                                                       	2163	 871	1273	 313	5616	17.513	  12	
73 	S73_minglc_871_04-11-2021.xml                                                                       	2163	 871	1196	 313	5616	6.440	  11	
74 	S74_minglc_871_04-11-2021.xml                                                                       	2163	 871	1249	 313	5616	29.519	  11	
75 	S75_minglc_871_04-11-2021.xml                                                                       	2163	 871	1273	 313	5616	1.983	  10	
76 	S76_minglc_871_04-11-2021.xml                                                                       	2163	 871	1296	 313	5616	11.494	  10	
77 	S77_minglc_871_04-11-2021.xml                                                                       	2163	 871	1242	 313	5616	7.701	   7	
78 	S78_minglc_871_04-11-2021.xml                                                                       	2163	 871	1190	 313	5616	10.595	  12	
79 	S79_minglc_871_04-11-2021.xml                                                                       	2163	 871	1275	 313	5616	19.339	  11	
80 	S80_minglc_871_04-11-2021.xml                                                                       	2163	 871	1198	 313	5616	39.166	  10	
81 	S81_minglc_871_04-11-2021.xml                                                                       	2163	 871	1261	 313	5616	10.128	   9	
82 	S82_minglc_871_04-11-2021.xml                                                                       	2163	 871	1216	 313	5616	18.038	  12	
83 	S83_minglc_871_04-11-2021.xml                                                                       	2163	 871	1254	 313	5616	10.450	  11	
84 	S84_minglc_871_04-11-2021.xml                                                                       	2163	 871	1197	 313	5616	2.747	  12	
85 	S85_minglc_871_04-11-2021.xml                                                                       	2163	 871	1197	 313	5616	8.699	   8	
86 	S86_minglc_871_04-11-2021.xml                                                                       	2163	 871	1257	 313	5616	11.311	   8	
87 	S87_minglc_871_04-11-2021.xml                                                                       	2163	 871	1247	 313	5616	7.253	  11	
88 	S88_minglc_871_04-11-2021.xml                                                                       	2163	 871	1234	 313	5616	9.285	   8	
89 	S89_minglc_871_04-11-2021.xml                                                                       	2163	 871	1248	 313	5616	28.224	  11	
90 	S90_minglc_871_04-11-2021.xml                                                                       	2163	 871	1264	 313	5616	16.350	  10	
91 	S91_minglc_871_04-11-2021.xml                                                                       	2163	 871	1222	 313	5616	40.707	  15	
92 	S92_minglc_871_04-11-2021.xml                                                                       	2163	 871	1278	 313	5616	15.790	  10	
93 	S93_minglc_871_04-11-2021.xml                                                                       	2163	 871	1268	 313	5616	33.873	  12	
94 	S94_minglc_871_04-11-2021.xml                                                                       	2163	 871	1265	 313	5616	7.734	  14	
95 	S95_minglc_871_04-11-2021.xml                                                                       	2163	 871	1192	 313	5616	11.068	  14	
96 	S96_minglc_871_04-11-2021.xml                                                                       	2163	 871	1241	 313	5616	16.146	   6	
97 	S97_minglc_871_04-11-2021.xml                                                                       	2163	 871	1291	 313	5616	26.684	  11	
98 	S98_minglc_871_04-11-2021.xml                                                                       	2163	 871	1203	 313	5616	38.115	  11	
99 	S99_minglc_871_04-11-2021.xml                                                                       	2163	 871	1254	 313	5616	11.647	  11	
100	S100_minglc_871_04-11-2021.xml                                                                      	2163	 871	1210	 313	5616	8.018	  11	
